time,open,high,low,close,Kernel Regression Estimate,Buy,Sell,StopBuy,StopSell,🚫
1757487600,54840.2,54850.4,54810.2,54822.8,54775.264989516494,NaN,NaN,NaN,NaN,0
1757488500,54829.4,54843.8,54778.6,54797,54782.622756622084,NaN,NaN,NaN,NaN,0
1757489400,54790,54810,54730.4,54735.2,54782.72473767489,NaN,NaN,NaN,NaN,0
1757490300,54735.2,54780,54710,54771,54784.73156972192,NaN,NaN,NaN,NaN,0
1757491200,54772,54800,54740,54799,54788.22515302825,NaN,NaN,NaN,NaN,0
1757492100,54805,54820,54778,54806.8,54791.63212090914,NaN,NaN,NaN,NaN,0
1757493000,54800,54845,54783,54807.8,54794.48484429122,NaN,NaN,NaN,NaN,0
1757493900,54802,54802.2,54750,54777,54793.97153371424,NaN,NaN,NaN,NaN,0
1757494800,54778,54800.4,54719.8,54720,54787.886730839826,NaN,NaN,NaN,NaN,0
1757495700,54725,54776.8,54725,54746.2,54784.059016051746,NaN,NaN,NaN,NaN,0
1757496600,54750,54803,54750,54798.6,54784.943680857425,NaN,NaN,NaN,NaN,0
1757497500,54797.6,54810.8,54771.8,54795,54785.54357081726,NaN,NaN,NaN,NaN,0
1757562300,54723,54842.6,54664.8,54825,54788.91825521783,NaN,NaN,NaN,NaN,0
1757563200,54821.6,54870.8,54781.4,54825,54792.34619421157,NaN,NaN,NaN,NaN,0
1757564100,54820.2,54854.2,54810,54820,54795.05762725777,NaN,NaN,NaN,NaN,0
1757565000,54825,54826,54736,54758.8,54792.14340939955,NaN,NaN,NaN,NaN,0
1757565900,54759.2,54793,54758,54793,54792.3703625538,NaN,NaN,NaN,NaN,0
1757566800,54792.2,54819.4,54777.8,54811.8,54794.301216516826,NaN,NaN,NaN,NaN,0
1757567700,54800,54840,54780.6,54830,54797.64867424288,NaN,NaN,NaN,NaN,0
1757568600,54830.4,54847.2,54812.4,54838,54801.768208816306,NaN,NaN,NaN,NaN,0
1757569500,54845,54851,54810,54818.8,54803.98488698475,NaN,NaN,NaN,NaN,0
1757570400,54818.6,54825,54773.6,54786.2,54803.07494498288,NaN,NaN,NaN,NaN,0
1757571300,54796.4,54835.2,54783.6,54833,54806.34530467692,NaN,NaN,NaN,NaN,0
