time,direction,price,match_entry_time,match_entry_price,time_diff_minutes,status,entry_time,exit_time,entry_price,exit_price,pnl_pct,bars_held,exit_reason,max_favorable_pct,max_adverse_pct,dir_num,sys_entry_price,sys_exit_price,sys_pnl_pct,tv_entry_price,tv_exit_price,tv_pnl_pct,pnl_diff_pct
2025-08-12 10:30:00+05:30,SHORT,55445.0,2025-08-12 14:00:00+05:30,55393.4,210.0,late,2025-08-12 14:00:00+05:30,2025-08-12 15:00:00+05:30,55393.4,55288.8,0.1888311603909464,4,4_bars,0.1888311603909464,0.0,-1,55393.4,55288.8,0.18883116039094647,55445.0,55288.8,0.281720624041838,0.09288946365089154
2025-08-21 13:30:00+05:30,SHORT,55895.2,2025-08-21 15:00:00+05:30,55921.66666666666,90.0,late,2025-08-21 15:00:00+05:30,2025-08-22 09:45:00+05:30,55921.66666666666,55500.0,0.7540309361308931,4,4_bars,0.7540309361308931,0.0,-1,55921.66666666666,55500.0,0.7540309361308801,55895.2,55500.0,0.7070374558101538,-0.046993480320726366
2025-08-22 09:15:00+05:30,SHORT,55648.6,2025-08-22 10:30:00+05:30,55408.06666666667,75.0,late,2025-08-22 10:30:00+05:30,2025-08-22 11:30:00+05:30,55408.06666666667,55463.0,-0.0991432053816358,4,4_bars,0.0,0.0991432053816358,-1,55408.06666666667,55463.0,-0.0991432053816358,55648.6,55463.0,0.3335214183285807,0.43266462371021647
2025-08-26 14:15:00+05:30,SHORT,54596.2,2025-08-26 15:00:00+05:30,54525.26666666666,45.0,late,2025-08-26 15:00:00+05:30,2025-08-28 09:45:00+05:30,54525.26666666666,54193.8,0.6079138845721554,4,4_bars,0.933634437367873,0.0,-1,54525.26666666666,54193.8,0.6079138845721554,54596.2,54193.8,0.7370476333517612,0.1291337487796057
2025-08-29 09:15:00+05:30,LONG,54308.4,2025-09-03 14:00:00+05:30,54180.73333333334,7485.0,late,2025-09-03 14:00:00+05:30,2025-09-03 15:00:00+05:30,54180.73333333334,54384.2,0.3755332461354526,4,4_bars,0.3755332461354526,0.0,1,54180.73333333334,54384.2,0.3755332461354526,54308.4,54384.2,0.1395732520199373,-0.23595999411551527
2025-09-02 10:00:00+05:30,LONG,54427.6,2025-09-03 14:00:00+05:30,54180.73333333334,1680.0,late,2025-09-03 14:00:00+05:30,2025-09-03 15:00:00+05:30,54180.73333333334,54384.2,0.3755332461354526,4,4_bars,0.3755332461354526,0.0,1,54180.73333333334,54384.2,0.3755332461354526,54427.6,54384.2,-0.0797389559708704,-0.45527220210632297
2025-09-05 12:30:00+05:30,SHORT,54036.0,2025-09-05 10:00:00+05:30,54208.86666666667,-150.0,early,2025-09-05 10:00:00+05:30,2025-09-05 11:00:00+05:30,54208.86666666667,54165.0,0.0809215712558743,4,4_bars,0.1296220913429968,0.0,-1,54208.86666666667,54165.0,0.08092157125587439,54036.0,54165.0,-0.23872973573173442,-0.3196513069876088
2025-09-15 09:15:00+05:30,LONG,55117.0,2025-09-15 11:45:00+05:30,55159.06666666667,150.0,late,2025-09-15 11:45:00+05:30,2025-09-15 12:45:00+05:30,55159.06666666667,55145.0,-0.0255020026928295,4,4_bars,0.027073216128857,0.0255020026928295,1,55159.06666666667,55145.0,-0.025502002692829533,55117.0,55145.0,0.0508010232777546,0.07630302597058414
2025-09-17 12:30:00+05:30,LONG,55585.4,2025-09-17 14:45:00+05:30,55675.0,135.0,late,2025-09-17 14:45:00+05:30,2025-09-18 09:30:00+05:30,55675.0,55878.0,0.3646160754378087,4,4_bars,0.3789851818590031,0.0,1,55675.0,55878.0,0.3646160754378087,55585.4,55878.0,0.5263972194137283,0.16178114397591958
2025-09-29 09:30:00+05:30,LONG,54693.4,2025-10-01 09:15:00+05:30,55038.2,2865.0,late,2025-10-01 09:15:00+05:30,2025-10-01 10:15:00+05:30,55038.2,55195.8,0.2863465738341706,4,4_bars,0.3488486178690304,0.0,1,55038.2,55195.8,0.28634657383418394,54693.4,55195.8,0.9185751845743754,0.6322286107401914
2025-09-30 09:15:00+05:30,LONG,54698.8,2025-10-01 09:15:00+05:30,55038.2,1440.0,late,2025-10-01 09:15:00+05:30,2025-10-01 10:15:00+05:30,55038.2,55195.8,0.2863465738341706,4,4_bars,0.3488486178690304,0.0,1,55038.2,55195.8,0.28634657383418394,54698.8,55195.8,0.908612254747819,0.6222656809136351
2025-10-06 09:15:00+05:30,LONG,56033.4,2025-10-06 12:00:00+05:30,56256.73333333334,165.0,late,2025-10-06 12:00:00+05:30,2025-10-06 13:00:00+05:30,56256.73333333334,56350.8,0.1672096140195348,4,4_bars,0.1672096140195348,0.0,1,56256.73333333334,56350.8,0.16720961401953488,56033.4,56350.8,0.5664478685926634,0.3992382545731285
2025-10-07 13:45:00+05:30,LONG,56626.8,2025-10-07 12:00:00+05:30,56544.0,-105.0,early,2025-10-07 12:00:00+05:30,2025-10-07 13:00:00+05:30,56544.0,56588.4,0.0785229202037377,4,4_bars,0.0813525749858517,0.0,1,56544.0,56588.4,0.07852292020373772,56626.8,56588.4,-0.06781241391002397,-0.1463353341137617
2025-10-08 13:00:00+05:30,LONG,56344.4,2025-10-07 12:00:00+05:30,56544.0,-1500.0,early,2025-10-07 12:00:00+05:30,2025-10-07 13:00:00+05:30,56544.0,56588.4,0.0785229202037377,4,4_bars,0.0813525749858517,0.0,1,56544.0,56588.4,0.07852292020373772,56344.4,56588.4,0.43305102192941974,0.35452810172568205
2025-10-09 11:00:00+05:30,LONG,56405.2,2025-10-10 09:15:00+05:30,56569.4,1335.0,late,2025-10-10 09:15:00+05:30,2025-10-10 10:15:00+05:30,56569.4,56844.0,0.4854214469306702,4,4_bars,0.4854214469306702,0.0,1,56569.4,56844.0,0.4854214469306702,56405.2,56844.0,0.777942459205894,0.2925210122752238
2025-10-13 09:15:00+05:30,SHORT,56657.0,2025-10-14 11:00:00+05:30,56692.53333333333,1545.0,late,2025-10-14 11:00:00+05:30,2025-10-14 12:00:00+05:30,56692.53333333333,56503.6,0.333259641481302,4,4_bars,0.333259641481302,0.0,-1,56692.53333333333,56503.6,0.333259641481302,56657.0,56503.6,0.270752069470677,-0.06250757201062501
2025-10-16 09:15:00+05:30,LONG,57245.0,2025-10-16 10:15:00+05:30,57218.13333333333,60.0,late,2025-10-16 10:15:00+05:30,2025-10-16 11:15:00+05:30,57218.13333333333,57248.0,0.0521979046269747,4,4_bars,0.0521979046269747,0.0,1,57218.13333333333,57248.0,0.05219790462697479,57245.0,57248.0,0.00524063236963927,-0.046957272257335515
2025-10-20 09:15:00+05:30,LONG,58078.8,2025-10-20 10:30:00+05:30,58123.86666666666,75.0,late,2025-10-20 10:30:00+05:30,2025-10-20 11:30:00+05:30,58123.86666666666,58141.0,0.0294772772630497,4,4_bars,0.098295823402444,0.0,1,58123.86666666666,58141.0,0.029477277263049724,58078.8,58141.0,0.10709587663656461,0.0776185993735149
2025-10-23 09:15:00+05:30,LONG,58319.0,2025-10-20 10:30:00+05:30,58123.86666666666,-4245.0,early,2025-10-20 10:30:00+05:30,2025-10-20 11:30:00+05:30,58123.86666666666,58141.0,0.0294772772630497,4,4_bars,0.098295823402444,0.0,1,58123.86666666666,58141.0,0.029477277263049724,58319.0,58141.0,-0.30521785352972447,-0.3346951307927742
2025-10-29 09:15:00+05:30,LONG,58625.0,2025-10-29 12:00:00+05:30,58678.466666666674,165.0,late,2025-10-29 12:00:00+05:30,2025-10-29 13:00:00+05:30,58678.466666666674,58735.2,0.0966850985653839,4,4_bars,0.0966850985653839,0.0,1,58678.466666666674,58735.2,0.09668509856538399,58625.0,58735.2,0.18797441364605047,0.09128931508066648
